activity_code,activity_label,activity_main_code,activity_main_label,activity_display
359,سایر فعالیت‌های مرتبط با مدیریت خانوار، بدون مزد برای اعضای خانوار و خانواده,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,359 — سایر فعالیت‌های مرتبط با مدیریت خانوار، بدون مزد برای اعضای خانوار و خانواده
361,مراقبت روزانه از حیوانات خانگی، بدون مزد برای اعضای خانوار و خانواده,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,361 — مراقبت روزانه از حیوانات خانگی، بدون مزد برای اعضای خانوار و خانواده
362,استفاده از مراقبت‌های دامپزشکی یا سایر خدمات مراقبتی حیوانات خانگی (آراستن، محل نگهداری، مراقبت روزانه یا در تعطیلات)، بدون مزد برای اعضای خانوار و خانواده,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,362 — استفاده از مراقبت‌های دامپزشکی یا سایر خدمات مراقبتی حیوانات خانگی (آراستن، محل نگهداری، مراقبت روزانه یا در تعطیلات)، بدون مزد برای اعضای خانوار و خانواده
369,سایر فعالیت‌های مرتبط با مراقبت از حیوانات خانگی، بدون مزد برای اعضای خانوار و خانواده,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,369 — سایر فعالیت‌های مرتبط با مراقبت از حیوانات خانگی، بدون مزد برای اعضای خانوار و خانواده
371,خرید کردن/ خریدن کالاها و فعالیت‌های مرتبط، بدون مزد برای اعضای خانوار و خانواده خود,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,371 — خرید کردن/ خریدن کالاها و فعالیت‌های مرتبط، بدون مزد برای اعضای خانوار و خانواده خود
372,خرید خدمات/ استفاده از خدمات و فعالیت‌های مرتبط، بدون مزد برای اعضای خانوار و خانواده خود,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,372 — خرید خدمات/ استفاده از خدمات و فعالیت‌های مرتبط، بدون مزد برای اعضای خانوار و خانواده خود
380,سفر، جابجایی، حمل و نقل یا همراهی کالاها یا افراد، مرتبط با خدمات خانگی، بدون مزد برای اعضای خانوار و خانواده,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,380 — سفر، جابجایی، حمل و نقل یا همراهی کالاها یا افراد، مرتبط با خدمات خانگی، بدون مزد برای اعضای خانوار و خانواده
390,سایر خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,390 — سایر خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده
411,مراقبت از کودکان شامل غذا دادن، تمیز کردن، مراقبت‌های فیزیکی، بدون مزد برای اعضای خانوار و خانواده,4,خدمات مراقبتی بدون مزد، برای اعضای خانوار و خانواده,411 — مراقبت از کودکان شامل غذا دادن، تمیز کردن، مراقبت‌های فیزیکی، بدون مزد برای اعضای خانوار و خانواده
412,ارائه مراقبت‌های پزشکی به کودکان، بدون مزد برای اعضای خانوار و خانواده,4,خدمات مراقبتی بدون مزد، برای اعضای خانوار و خانواده,412 — ارائه مراقبت‌های پزشکی به کودکان، بدون مزد برای اعضای خانوار و خانواده
413,آموزش، تعلیم، مهارت‌آموزی، کمک به کودکان، بدون مزد برای اعضای خانوار و خانواده,4,خدمات مراقبتی بدون مزد، برای اعضای خانوار و خانواده,413 — آموزش، تعلیم، مهارت‌آموزی، کمک به کودکان، بدون مزد برای اعضای خانوار و خانواده
414,صحبت کردن با کودکان و خواندن برای آن‌ها، بدون مزد برای اعضای خانوار و خانواده,4,خدمات مراقبتی بدون مزد، برای اعضای خانوار و خانواده,414 — صحبت کردن با کودکان و خواندن برای آن‌ها، بدون مزد برای اعضای خانوار و خانواده
415,بازی کردن و ورزش کردن با کودکان، بدون مزد برای اعضای خانوار و خانواده,4,خدمات مراقبتی بدون مزد، برای اعضای خانوار و خانواده,415 — بازی کردن و ورزش کردن با کودکان، بدون مزد برای اعضای خانوار و خانواده
416,نظارت و پائیدن کودکان (مراقبت‌های غیرمستقیم)، بدون مزد برای اعضای خانوار و خانواده,4,خدمات مراقبتی بدون مزد، برای اعضای خانوار و خانواده,416 — نظارت و پائیدن کودکان (مراقبت‌های غیرمستقیم)، بدون مزد برای اعضای خانوار و خانواده
417,جلسات و قرارهایی با مدارس و ارائه‌دهندگان خدمات مراقبت از کودکان، بدون مزد برای اعضای خانوار و خانواده,4,خدمات مراقبتی بدون مزد، برای اعضای خانوار و خانواده,417 — جلسات و قرارهایی با مدارس و ارائه‌دهندگان خدمات مراقبت از کودکان، بدون مزد برای اعضای خانوار و خانواده
419,سایر فعالیت‌های مرتبط با مراقبت از کودکان و آموزش آن‌ها، بدون مزد برای اعضای خانوار و خانواده,4,خدمات مراقبتی بدون مزد، برای اعضای خانوار و خانواده,419 — سایر فعالیت‌های مرتبط با مراقبت از کودکان و آموزش آن‌ها، بدون مزد برای اعضای خانوار و خانواده
421,کمک به بزرگسالان وابسته برای انجام وظایف زندگی روزانه، بدون مزد برای اعضای خانوار و خانواده,4,خدمات مراقبتی بدون مزد، برای اعضای خانوار و خانواده,421 — کمک به بزرگسالان وابسته برای انجام وظایف زندگی روزانه، بدون مزد برای اعضای خانوار و خانواده
422,کمک به بزرگسالان وابسته برای دریافت مراقبت‌های پزشکی، بدون مزد برای اعضای خانوار و خانواده,4,خدمات مراقبتی بدون مزد، برای اعضای خانوار و خانواده,422 — کمک به بزرگسالان وابسته برای دریافت مراقبت‌های پزشکی، بدون مزد برای اعضای خانوار و خانواده
423,کمک به بزرگسالان وابسته برای انجام کارهای اداری، حساب‌ها و تکمیل فرم‌ها، بدون مزد برای اعضای خانوار و خانواده,4,خدمات مراقبتی بدون مزد، برای اعضای خانوار و خانواده,423 — کمک به بزرگسالان وابسته برای انجام کارهای اداری، حساب‌ها و تکمیل فرم‌ها، بدون مزد برای اعضای خانوار و خانواده
424,حمایت عاطفی/ احساسی از بزرگسالان وابسته، بدون مزد برای اعضای خانوار و خانواده,4,خدمات مراقبتی بدون مزد، برای اعضای خانوار و خانواده,424 — حمایت عاطفی/ احساسی از بزرگسالان وابسته، بدون مزد برای اعضای خانوار و خانواده
425,مراقبت‌های غیرمستقیم از بزرگسالان وابسته، بدون مزد برای اعضای خانوار و خانواده,4,خدمات مراقبتی بدون مزد، برای اعضای خانوار و خانواده,425 — مراقبت‌های غیرمستقیم از بزرگسالان وابسته، بدون مزد برای اعضای خانوار و خانواده
426,جلسات و قرارهایی با ارائه‌دهندگان خدمات مراقبت از بزرگسالان وابسته، بدون مزد برای اعضای خانوار و خانواده,4,خدمات مراقبتی بدون مزد، برای اعضای خانوار و خانواده,426 — جلسات و قرارهایی با ارائه‌دهندگان خدمات مراقبت از بزرگسالان وابسته، بدون مزد برای اعضای خانوار و خانواده
429,سایر فعالیت‌های مرتبط با مراقبت از بزرگسالان وابسته، بدون مزد برای اعضای خانوار و خانواده,4,خدمات مراقبتی بدون مزد، برای اعضای خانوار و خانواده,429 — سایر فعالیت‌های مرتبط با مراقبت از بزرگسالان وابسته، بدون مزد برای اعضای خانوار و خانواده
431,غذا دادن، تمیز کردن، مراقبت‌های فیزیکی (بدون مزد) برای بزرگسالان مستقل اعضای خانوار و خانواده از جمله برای بیماری‌های زودگذر,4,خدمات مراقبتی بدون مزد، برای اعضای خانوار و خانواده,431 — غذا دادن، تمیز کردن، مراقبت‌های فیزیکی (بدون مزد) برای بزرگسالان مستقل اعضای خانوار و خانواده از جمله برای بیماری‌های زودگذر
432,حمایت عاطفی/ احساسی (بدون مزد) از بزرگسالان مستقل اعضای خانوار و خانواده,4,خدمات مراقبتی بدون مزد، برای اعضای خانوار و خانواده,432 — حمایت عاطفی/ احساسی (بدون مزد) از بزرگسالان مستقل اعضای خانوار و خانواده
439,سایر فعالیت‌های (بدون مزد) مرتبط با مراقبت از بزرگسالان مستقل اعضای خانوار و خانواده,4,خدمات مراقبتی بدون مزد، برای اعضای خانوار و خانواده,439 — سایر فعالیت‌های (بدون مزد) مرتبط با مراقبت از بزرگسالان مستقل اعضای خانوار و خانواده
441,سفر مرتبط با خدمات مراقبتی، بدون مزد برای اعضای خانوار و خانواده,4,خدمات مراقبتی بدون مزد، برای اعضای خانوار و خانواده,441 — سفر مرتبط با خدمات مراقبتی، بدون مزد برای اعضای خانوار و خانواده
442,همراهی کردن (بدون مزد) فرزندان خود,4,خدمات مراقبتی بدون مزد، برای اعضای خانوار و خانواده,442 — همراهی کردن (بدون مزد) فرزندان خود
443,همراهی کردن بزرگسالان وابسته، بدون مزد برای اعضای خانوار و خانواده,4,خدمات مراقبتی بدون مزد، برای اعضای خانوار و خانواده,443 — همراهی کردن بزرگسالان وابسته، بدون مزد برای اعضای خانوار و خانواده
444,همراهی کردن (بدون مزد) بزرگسالان مستقل اعضای خانوار و خانواده,4,خدمات مراقبتی بدون مزد، برای اعضای خانوار و خانواده,444 — همراهی کردن (بدون مزد) بزرگسالان مستقل اعضای خانوار و خانواده
490,سایر فعالیت‌های مرتبط با خدمات مراقبتی بدون مزد، برای اعضای خانوار و خانواده,4,خدمات مراقبتی بدون مزد، برای اعضای خانوار و خانواده,490 — سایر فعالیت‌های مرتبط با خدمات مراقبتی بدون مزد، برای اعضای خانوار و خانواده
